Popularity ,Breed,Group,Size,Price Bracket,Price low,Price high,Lifetime Cost,Lifespan,Genetic Ailments,Grooming Score,Intelligence Category,Trainability,Training Repetitions,Odedience,Children Score
118,Belgian Sheepdog,herding,large,,,,,,4,-,Excellent,15,5 to 15,85,-
108,Belgian Tervuren,herding,large,mid-price,850,1200,"19,132",10.6,2,2,Excellent,14,5 to 15,85,1
34,Bernese Mountain Dog,working,large,mid-price,750,2500,"16,099",7.56,4,2,Excellent,22,5 to 15,85,1
39,Bichon Frise,non-sporting,small,budget,250,1500,"19,735",12.21,0,1,Average,45,25 to 40,50,1
109,Black and Tan Coonhound,hound,large,budget,200,500,,,0,-,Average,44,25 to 40,50,-
128,Black Russian Terrier,working,large,high-end,2500,3000,,1.83 - really?,0,-,,,,,-
48,Bloodhound,hound,large,budget,200,1000,"13,824",6.75,2,2,Lowest,75,80 to 100,<25,2
136,Bluetick Coonhound,hound,large,budget,200,500,,,0,-,,,,,-
45,Border Collie,herding,medium,budget,175,1050,"20,143",12.52,2,2,Brightest,1,less than 5,95,3
80,Border Terrier,terrier,small,mid-price,250,1200,"22,638",14,0,2,Above average,30,15 to 25,70,1
102,Borzoi,hound,large,budget,300,1250,"16,176",9.08,0,1,Lowest,76,80 to 100,<25,2
22,Boston Terrier,non-sporting,medium,budget,400,1050,"17,741",10.92,1,2,Average,54,25 to 40,50,1
83,Bouvier des Flandres,herding,large,mid-price,800,2500,"18,959",10.34,1,2,Above average,29,15 to 25,70,1
7,Boxer,working,medium,mid-price,300,2500,"15,746",8.81,4,2,Average,48,25 to 40,50,1
138,Boykin Spaniel,sporting,medium,budget,200,800,,,,-,,,,,-
125,Briard,herding,large,budget,500,800,"19,673",11.17,1,1,Above average,30,15 to 25,70,1
30,Brittany,sporting,medium,budget,300,1200,"22,589",12.92,0,2,Excellent,19,5 to 15,85,2
77,Brussels Griffon,toy,small,mid-price,500,1500,"19,551",12,0,2,Fair,59,40 to 80,30,3
51,Bull Terrier,terrier,medium,mid-price,300,1750,"18,490",10.21,2,2,Fair,66,40 to 80,30,2
6,Bulldog,non-sporting,medium,high-end,1500,5500,"13,479",6.29,5,2,Lowest,78,80 to 100,<25,2
40,Bullmastiff,working,large,mid-price,600,1600,"13,936",7.57,2,2,Fair,69,40 to 80,30,1
